
COUNTRY,CITY,SALES,DATE
India,Chennai,42048,2022-06-23 05:15
Mexico,Guadalajara,41287,2022-04-07 9:30
India,Chennai,16588,2022-01-23 10:33
Germany,Munich,62300,2022-05-18 02:33
Japan,Kyoto,86204,2022-06-23 05:15
Germany,Frankfurt am Main,52480,2022-06-23 05:15
United States,Washington,26852,2022-01-23 10:33
South Korea,Seoul,69634,2022-01-23 10:33
Mexico,Mexico City,16897,2022-05-18 02:33
Germany,Berlin,42160,2022-01-23 10:33
China,Shanghai,21982,2022-06-23 05:15
Germany,Berlin,29505,2022-06-23 05:15
Germany,Munich,24705,2022-01-23 10:33
Italy,Naples,28260,2022-01-23 10:33
France,Nice,51525,2022-06-23 05:15
Italy,Milan,57584,2022-01-23 10:33
Brazil,Sao Paulo,15588,2022-04-07 9:30
United States,Washington,53265,2022-05-18 02:33
United States,San Jose,6773,2022-04-07 9:30
Brazil,Belo Horizonte,24402,2022-01-23 10:33
France,Paris,21432,2022-05-18 02:33
Germany,Hamburg,33003,2022-05-18 02:33
Japan,Sapporo,18802,2022-01-23 10:33
South Korea,Daegu,19635,2022-01-23 10:33
United States,San Francisco,35024,2022-01-23 10:33
United States,San Jose,28938,2022-01-23 10:33
China,Guangzhou,32680,2022-05-18 02:33
Japan,Tokyo,78844,2022-05-18 02:33
Brazil,Brasilia,1034,2022-04-07 9:30
Germany,Koeln,939,2022-01-23 10:33
Mexico,Mexico City,10200,2022-05-18 02:33
Germany,Berlin,38304,2022-06-23 05:15
Mexico,Ecatepec de Morelos,42384,2022-05-18 02:33
France,Lyon,50589,2022-06-23 05:15
South Korea,Seoul,94368,2022-05-18 02:33
Germany,Frankfurt am Main,1866,2022-04-07 9:30
United States,San Francisco,39336,2022-04-07 9:30
India,Bengaluru,2821,2022-06-23 05:15
United States,Chicago,54678,2022-05-18 02:33
Germany,Munich,61272,2022-04-07 9:30
Brazil,Brasilia,27637,2022-01-23 10:33
China,Tianjin,7968,2022-06-23 05:15
United States,New York City,23688,2022-06-23 05:15
United States,San Jose,69768,2022-06-23 05:15
Japan,Tokyo,12180,2022-04-07 9:30
China,Shanghai,67002,2022-06-23 05:15
Japan,Tokyo,4330,2022-04-07 9:30
United States,New York City,6606,2022-01-23 10:33
China,Beijing,22000,2022-05-18 02:33
South Korea,Daegu,22620,2022-05-18 02:33
Germany,Koeln,4716,2022-01-23 10:33
United States,San Jose,6760,2022-05-18 02:33
Italy,Milan,1162,2022-01-23 10:33
Mexico,Guadalajara,34672,2022-05-18 02:33
China,Tianjin,8855,2022-01-23 10:33
India,Chennai,18360,2022-06-23 05:15
Japan,Kyoto,800,2022-04-07 9:30
South Korea,Daegu,67959,2022-01-23 10:33
Italy,Milan,20874,2022-06-23 05:15
Italy,Turin,88605,2022-04-07 9:30
Germany,Munich,11868,2022-05-18 02:33
Brazil,Sao Paulo,1694,2022-04-07 9:30
Japan,Tokyo,1674,2022-05-18 02:33
Italy,Milan,64296,2022-05-18 02:33
France,Paris,4760,2022-06-23 05:15
France,Nantes,893,2022-01-23 10:33
Germany,Frankfurt am Main,16425,2022-01-23 10:33
India,Kolkata,6174,2022-01-23 10:33
India,Kolkata,64944,2022-04-07 9:30
China,Guangzhou,37015,2022-05-18 02:33
United States,Los Angeles,1700,2022-06-23 05:15
South Korea,Daegu,9856,2022-05-18 02:33
Italy,Rome,17160,2022-05-18 02:33
United States,Undefined,16800,2022-04-07 9:30
United States,Chicago,25666,2022-04-07 9:30
France,Toulouse,9108,2022-06-23 05:15
China,Tianjin,11374,2022-05-18 02:33
United States,San Jose,8505,2022-05-18 02:33
Brazil,Brasilia,20121,2022-06-23 05:15
Mexico,Puebla,59329,2022-04-07 9:30
France,Nantes,29414,2022-05-18 02:33
India,Mumbai,1374,2022-04-07 9:30
China,Shanghai,10094,2022-04-07 9:30
India,Chennai,50778,2022-01-23 10:33
Mexico,Puebla,66564,2022-05-18 02:33
China,Guangzhou,12495,2022-05-18 02:33
India,Chennai,26400,2022-06-23 05:15
United States,Washington,39264,2022-04-07 9:30
Brazil,Brasilia,9048,2022-05-18 02:33
Mexico,Mexico City,5141,2022-04-07 9:30
Japan,Tokyo,53850,2022-01-23 10:33
Germany,Frankfurt am Main,6897,2022-04-07 9:30
India,Kolkata,10092,2022-04-07 9:30
India,Chennai,71214,2022-05-18 02:33
Mexico,Mexico City,20910,2022-01-23 10:33
France,Nantes,31742,2022-04-07 9:30
China,Tianjin,42039,2022-06-23 05:15
China,Guangzhou,27200,2022-01-23 10:33
Italy,Naples,39150,2022-06-23 05:15
South Korea,Busan,14560,2022-04-07 9:30
South Korea,Incheon,4935,2022-05-18 02:33
France,Nantes,25915,2022-05-18 02:33
Germany,Berlin,10817,2022-05-18 02:33
Italy,Milan,38976,2022-06-23 05:15
Mexico,Guadalajara,8547,2022-01-23 10:33
France,Paris,6975,2022-06-23 05:15
Italy,Naples,5310,2022-06-23 05:15
India,Delhi,50540,2022-05-18 02:33
Italy,Turin,24487,2022-01-23 10:33
India,Kolkata,14178,2022-06-23 05:15
Italy,Milan,39259,2022-01-23 10:33
China,Guangzhou,37905,2022-06-23 05:15
India,Mumbai,59616,2022-05-18 02:33
United States,Undefined,27716,2022-04-07 9:30
India,Chennai,11718,2022-01-23 10:33
United States,Philadelphia,21175,2022-04-07 9:30
Japan,Kyoto,207,2022-05-18 02:33
Italy,Turin,62748,2022-05-18 02:33
Brazil,Brasilia,72742,2022-05-18 02:33
India,Mumbai,37980,2022-05-18 02:33
Germany,Frankfurt am Main,15873,2022-05-18 02:33
United States,San Jose,2824,2022-06-23 05:15
China,Beijing,56870,2022-05-18 02:33
Japan,Kyoto,32410,2022-01-23 10:33
Brazil,Brasilia,3948,2022-01-23 10:33
Japan,Kyoto,808,2022-06-23 05:15
France,Lyon,732,2022-04-07 9:30
Mexico,Puebla,50960,2022-05-18 02:33
India,Chennai,10411,2022-01-23 10:33
Mexico,Guadalajara,9936,2022-04-07 9:30
United States,Washington,1950,2022-06-23 05:15
Mexico,Mexico City,2064,2022-04-07 9:30
Italy,Turin,16094,2022-05-18 02:33
Brazil,Sao Paulo,10764,2022-05-18 02:33
China,Shanghai,43285,2022-06-23 05:15
United States,Chicago,71784,2022-01-23 10:33
France,Lyon,3267,2022-01-23 10:33
India,Delhi,9275,2022-06-23 05:15
South Korea,Daegu,5016,2022-04-07 9:30
Brazil,Fortaleza,9922,2022-01-23 10:33
Mexico,Puebla,8215,2022-01-23 10:33
Brazil,Brasilia,15105,2022-06-23 05:15
Italy,Milan,1164,2022-06-23 05:15
Japan,Sapporo,12308,2022-04-07 9:30
Brazil,Sao Paulo,14445,2022-01-23 10:33
China,Beijing,74936,2022-04-07 9:30
Italy,Rome,332,2022-05-18 02:33
South Korea,Seoul,66612,2022-06-23 05:15
United States,Houston,25920,2022-01-23 10:33
China,Shanghai,43020,2022-04-07 9:30
Japan,Osaka,36464,2022-01-23 10:33
South Korea,Busan,6026,2022-06-23 05:15
Mexico,Guadalajara,21033,2022-05-18 02:33
Mexico,Ecatepec de Morelos,7995,2022-05-18 02:33
United States,Chicago,51898,2022-01-23 10:33
China,Guangzhou,7220,2022-05-18 02:33
Italy,Milan,39153,2022-06-23 05:15
China,Guangzhou,33390,2022-01-23 10:33
United States,Washington,6095,2022-05-18 02:33
Italy,Naples,30849,2022-06-23 05:15
Brazil,Sao Paulo,30960,2022-06-23 05:15
China,Beijing,944,2022-06-23 05:15
Mexico,Guadalajara,1495,2022-04-07 9:30
South Korea,Seoul,39261,2022-06-23 05:15
Mexico,Puebla,17143,2022-01-23 10:33
United States,San Francisco,15640,2022-04-07 9:30
Germany,Frankfurt am Main,9168,2022-04-07 9:30
United States,San Jose,77868,2022-04-07 9:30
Germany,Koeln,80166,2022-01-23 10:33
India,Delhi,14982,2022-05-18 02:33
Japan,Kyoto,15200,2022-06-23 05:15
Mexico,Iztapalapa,39296,2022-04-07 9:30
Germany,Munich,1127,2022-04-07 9:30
Mexico,Mexico City,11520,2022-01-23 10:33
United States,Philadelphia,4704,2022-06-23 05:15
India,Kolkata,89472,2022-01-23 10:33
Mexico,Puebla,26832,2022-01-23 10:33
Japan,Sapporo,33450,2022-04-07 9:30
China,Guangzhou,1104,2022-04-07 9:30
China,Beijing,2456,2022-05-18 02:33
Brazil,Brasilia,5229,2022-05-18 02:33
France,Paris,1840,2022-05-18 02:33
United States,San Francisco,49824,2022-06-23 05:15
Brazil,Sao Paulo,37316,2022-01-23 10:33
United States,Washington,10062,2022-01-23 10:33
Mexico,Guadalajara,88736,2022-01-23 10:33
Brazil,Brasilia,6083,2022-04-07 9:30
Germany,Berlin,8208,2022-05-18 02:33
United States,Philadelphia,18000,2022-06-23 05:15
Mexico,Guadalajara,93896,2022-04-07 9:30
France,Toulouse,31620,2022-04-07 9:30
Mexico,Guadalajara,4608,2022-06-23 05:15
Mexico,Mexico City,17712,2022-06-23 05:15
United States,Philadelphia,27218,2022-01-23 10:33
United States,San Jose,54288,2022-04-07 9:30
China,Shanghai,9758,2022-01-23 10:33
Germany,Berlin,15444,2022-04-07 9:30
Brazil,Sao Paulo,11942,2022-06-23 05:15
Mexico,Ecatepec de Morelos,1936,2022-04-07 9:30
India,Kolkata,2252,2022-05-18 02:33
Japan,Osaka,10747,2022-04-07 9:30
United States,Houston,4640,2022-06-23 05:15
Mexico,Guadalajara,32627,2022-06-23 05:15
China,Shanghai,24827,2022-04-07 9:30
United States,Undefined,17460,2022-05-18 02:33
Japan,Kyoto,47385,2022-04-07 9:30
India,Kolkata,43584,2022-01-23 10:33
South Korea,Seoul,28050,2022-06-23 05:15
Italy,Naples,1152,2022-01-23 10:33
United States,San Jose,20592,2022-05-18 02:33
South Korea,Daegu,39072,2022-01-23 10:33
Brazil,Fortaleza,3588,2022-05-18 02:33
United States,San Jose,2892,2022-01-23 10:33
Mexico,Iztapalapa,30317,2022-05-18 02:33
Mexico,Mexico City,9800,2022-04-07 9:30
United States,Chicago,45612,2022-04-07 9:30
Brazil,Fortaleza,71230,2022-01-23 10:33
Brazil,Brasilia,4964,2022-01-23 10:33
South Korea,Seoul,2490,2022-04-07 9:30
United States,Los Angeles,21400,2022-06-23 05:15
Mexico,Guadalajara,9042,2022-06-23 05:15
United States,New York City,64990,2022-04-07 9:30
India,Chennai,37884,2022-01-23 10:33
United States,Philadelphia,1110,2022-04-07 9:30
United States,Philadelphia,72224,2022-04-07 9:30
India,Kolkata,14088,2022-06-23 05:15
United States,Los Angeles,74617,2022-06-23 05:15
Germany,Munich,952,2022-05-18 02:33
India,Mumbai,115,2022-05-18 02:33
Germany,Berlin,41,2022-06-23 05:15
United States,Chicago,9280,2022-05-18 02:33
Mexico,Puebla,26070,2022-05-18 02:33
Brazil,Fortaleza,1554,2022-05-18 02:33
Italy,Rome,62700,2022-05-18 02:33
India,Kolkata,12369,2022-05-18 02:33
Italy,Rome,6409,2022-04-07 9:30
Mexico,Guadalajara,4992,2022-04-07 9:30
Japan,Osaka,13363,2022-04-07 9:30
India,Bengaluru,5288,2022-05-18 02:33
Mexico,Ecatepec de Morelos,19313,2022-05-18 02:33
United States,Los Angeles,55876,2022-06-23 05:15
India,Mumbai,2832,2022-04-07 9:30
Italy,Turin,50128,2022-01-23 10:33
China,Shanghai,16252,2022-04-07 9:30
South Korea,Incheon,1716,2022-01-23 10:33
India,Mumbai,19684,2022-04-07 9:30
United States,Washington,33390,2022-04-07 9:30
China,Guangzhou,1212,2022-04-07 9:30
India,Chennai,42834,2022-01-23 10:33
Germany,Frankfurt am Main,180,2022-01-23 10:33
United States,Washington,81003,2022-04-07 9:30
China,Beijing,88,2022-05-18 02:33
Mexico,Iztapalapa,10534,2022-01-23 10:33
Japan,Kyoto,66981,2022-04-07 9:30
France,Nantes,12430,2022-01-23 10:33
Germany,Frankfurt am Main,24628,2022-06-23 05:15
France,Paris,42522,2022-01-23 10:33
China,Tianjin,54033,2022-04-07 9:30
Germany,Hamburg,15550,2022-01-23 10:33
United States,Houston,14820,2022-01-23 10:33
Mexico,Iztapalapa,34440,2022-06-23 05:15
Mexico,Ecatepec de Morelos,26950,2022-05-18 02:33
France,Paris,52350,2022-01-23 10:33
Brazil,Brasilia,7314,2022-04-07 9:30
France,Toulouse,20736,2022-01-23 10:33
South Korea,Incheon,25650,2022-06-23 05:15
China,Guangzhou,52033,2022-05-18 02:33
Mexico,Puebla,73086,2022-01-23 10:33
India,Kolkata,21600,2022-05-18 02:33
China,Guangzhou,1957,2022-01-23 10:33
Mexico,Ecatepec de Morelos,7452,2022-01-23 10:33
United States,Los Angeles,666,2022-04-07 9:30
China,Beijing,76386,2022-05-18 02:33
Germany,Koeln,42965,2022-04-07 9:30
United States,San Francisco,51579,2022-01-23 10:33
India,Delhi,54740,2022-04-07 9:30
Brazil,Brasilia,48374,2022-04-07 9:30
India,Kolkata,47376,2022-05-18 02:33
France,Lyon,5383,2022-06-23 05:15
Italy,Rome,8708,2022-04-07 9:30
Japan,Tokyo,38152,2022-04-07 9:30
Brazil,Fortaleza,1974,2022-01-23 10:33
Mexico,Ecatepec de Morelos,1650,2022-04-07 9:30
Germany,Koeln,1598,2022-04-07 9:30
South Korea,Seoul,17540,2022-04-07 9:30
United States,San Francisco,36613,2022-05-18 02:33
Japan,Osaka,14160,2022-06-23 05:15
Germany,Frankfurt am Main,34191,2022-05-18 02:33
India,Bengaluru,22237,2022-05-18 02:33
United States,Los Angeles,8688,2022-04-07 9:30
South Korea,Busan,41883,2022-06-23 05:15
Brazil,Brasilia,27750,2022-06-23 05:15
Japan,Osaka,1176,2022-06-23 05:15
South Korea,Seoul,54720,2022-06-23 05:15
Germany,Frankfurt am Main,37080,2022-04-07 9:30
China,Tianjin,88110,2022-06-23 05:15
United States,San Jose,28770,2022-04-07 9:30
United States,Washington,5370,2022-04-07 9:30
China,Shanghai,43965,2022-04-07 9:30
France,Toulouse,1368,2022-05-18 02:33
India,Chennai,17710,2022-06-23 05:15
Brazil,Brasilia,53246,2022-04-07 9:30
Mexico,Iztapalapa,27916,2022-06-23 05:15
United States,Undefined,2040,2022-01-23 10:33
Germany,Munich,2216,2022-04-07 9:30
China,Beijing,9407,2022-04-07 9:30
South Korea,Busan,27368,2022-05-18 02:33
United States,Los Angeles,6394,2022-05-18 02:33
Brazil,Sao Paulo,11997,2022-06-23 05:15
France,Paris,21320,2022-05-18 02:33
France,Nantes,1432,2022-01-23 10:33
Germany,Koeln,7488,2022-04-07 9:30
United States,Washington,37130,2022-01-23 10:33
South Korea,Incheon,71915,2022-05-18 02:33
Japan,Sapporo,43120,2022-05-18 02:33
France,Nantes,12753,2022-06-23 05:15
Mexico,Ecatepec de Morelos,86976,2022-01-23 10:33
India,Kolkata,26200,2022-04-07 9:30
China,Shanghai,11792,2022-06-23 05:15
United States,San Francisco,46170,2022-06-23 05:15
United States,Chicago,28140,2022-01-23 10:33
Italy,Rome,14121,2022-01-23 10:33
Japan,Osaka,15105,2022-01-23 10:33
India,Mumbai,15249,2022-05-18 02:33
Brazil,Brasilia,28101,2022-04-07 9:30
Germany,Munich,78208,2022-04-07 9:30
Mexico,Iztapalapa,2520,2022-01-23 10:33
Germany,Munich,32508,2022-06-23 05:15
China,Beijing,30600,2022-06-23 05:15
France,Nantes,53120,2022-04-07 9:30
United States,Los Angeles,50692,2022-06-23 05:15
Japan,Kyoto,1722,2022-01-23 10:33
France,Paris,47804,2022-06-23 05:15
United States,San Francisco,52633,2022-01-23 10:33
China,Guangzhou,32,2022-04-07 9:30
United States,Washington,23241,2022-05-18 02:33
United States,Los Angeles,65472,2022-04-07 9:30
China,Guangzhou,38184,2022-05-18 02:33
Germany,Koeln,3260,2022-06-23 05:15
United States,"",24928,2022-06-23 05:15
Japan,Osaka,59220,2022-06-23 05:15
Italy,Rome,792,2022-04-07 9:30
Japan,Kyoto,4617,2022-05-18 02:33
France,Nantes,4572,2022-04-07 9:30
France,Nantes,61824,2022-04-07 9:30
United States,Houston,23577,2022-05-18 02:33
India,Bengaluru,65590,2022-06-23 05:15
Brazil,Sao Paulo,6384,2022-05-18 02:33
South Korea,Incheon,60160,2022-04-07 9:30
Italy,Naples,1760,2022-05-18 02:33
France,Paris,28710,2022-06-23 05:15
France,Lyon,51961,2022-06-23 05:15
United States,Houston,37620,2022-06-23 05:15
India,Chennai,21988,2022-04-07 9:30
South Korea,Busan,897,2022-06-23 05:15
United States,San Jose,16399,2022-05-18 02:33
France,Nantes,2294,2022-04-07 9:30
France,Toulouse,28356,2022-01-23 10:33
India,Kolkata,4450,2022-01-23 10:33
United States,San Francisco,15840,2022-06-23 05:15
France,Paris,42480,2022-06-23 05:15
Brazil,Belo Horizonte,56551,2022-01-23 10:33
Mexico,Guadalajara,14271,2022-04-07 9:30
United States,Washington,3434,2022-04-07 9:30
France,Lyon,5369,2022-06-23 05:15
India,Chennai,70153,2022-06-23 05:15
Brazil,Fortaleza,5348,2022-05-18 02:33
Brazil,Sao Paulo,19599,2022-06-23 05:15
India,Mumbai,89180,2022-05-18 02:33
Mexico,Ecatepec de Morelos,42039,2022-01-23 10:33
France,Lyon,73610,2022-04-07 9:30
South Korea,Incheon,4032,2022-05-18 02:33
India,Mumbai,8228,2022-04-07 9:30
Italy,Naples,16000,2022-04-07 9:30
France,Nice,27495,2022-05-18 02:33
France,Paris,21964,2022-04-07 9:30
United States,Houston,2067,2022-04-07 9:30
Mexico,Mexico City,36064,2022-06-23 05:15
United States,Chicago,11760,2022-04-07 9:30
United States,New York City,32264,2022-06-23 05:15
Mexico,Guadalajara,11645,2022-04-07 9:30
Germany,Berlin,13986,2022-01-23 10:33
Germany,Munich,27861,2022-05-18 02:33
Japan,Sapporo,16110,2022-04-07 9:30
Italy,Milan,34916,2022-06-23 05:15
Mexico,Puebla,37450,2022-06-23 05:15
India,Chennai,6688,2022-01-23 10:33
Mexico,Puebla,42222,2022-04-07 9:30
Italy,Milan,44150,2022-06-23 05:15
United States,"",8525,2022-06-23 05:15
Brazil,Sao Paulo,9456,2022-04-07 9:30
France,Nice,40588,2022-06-23 05:15
Mexico,Guadalajara,9024,2022-06-23 05:15
United States,San Francisco,6380,2022-06-23 05:15
Germany,Berlin,2002,2022-05-18 02:33
United States,Philadelphia,11454,2022-04-07 9:30
India,Bengaluru,26040,2022-06-23 05:15
Mexico,Guadalajara,8789,2022-05-18 02:33
Germany,Hamburg,14652,2022-05-18 02:33
Japan,Sapporo,18103,2022-04-07 9:30
South Korea,Busan,10266,2022-06-23 05:15
France,Paris,16605,2022-05-18 02:33
Germany,Hamburg,3485,2022-06-23 05:15
India,Mumbai,12464,2022-06-23 05:15
Japan,Osaka,2340,2022-05-18 02:33
Italy,Turin,5684,2022-01-23 10:33
Italy,Milan,12030,2022-04-07 9:30
Mexico,Ecatepec de Morelos,944,2022-01-23 10:33
China,Beijing,24564,2022-04-07 9:30
South Korea,Busan,4541,2022-04-07 9:30
Italy,Turin,32650,2022-01-23 10:33
France,Toulouse,294,2022-06-23 05:15
Italy,Rome,27804,2022-01-23 10:33
China,Shanghai,807,2022-06-23 05:15
France,Lyon,602,2022-04-07 9:30
Germany,Berlin,11398,2022-01-23 10:33
United States,New York City,61425,2022-04-07 9:30
Japan,Tokyo,22904,2022-01-23 10:33
Japan,Osaka,38080,2022-04-07 9:30
United States,Washington,49275,2022-06-23 05:15
China,Guangzhou,5208,2022-06-23 05:15
Brazil,Fortaleza,76415,2022-04-07 9:30
Germany,Munich,22570,2022-01-23 10:33
Italy,Turin,69420,2022-05-18 02:33
Italy,Milan,37937,2022-06-23 05:15
Italy,Turin,8600,2022-06-23 05:15
China,Beijing,28832,2022-05-18 02:33
Mexico,Mexico City,62900,2022-04-07 9:30
Italy,Naples,84200,2022-06-23 05:15
France,Toulouse,17820,2022-04-07 9:30
United States,Undefined,4862,2022-06-23 05:15
France,Lyon,34800,2022-01-23 10:33
China,Beijing,9009,2022-01-23 10:33
France,Nice,38610,2022-06-23 05:15
Mexico,Puebla,5584,2022-05-18 02:33
Mexico,Mexico City,23025,2022-05-18 02:33
India,Mumbai,23439,2022-01-23 10:33
Japan,Sapporo,15521,2022-01-23 10:33
Japan,Kyoto,32760,2022-05-18 02:33
Germany,Munich,52026,2022-05-18 02:33
Germany,Munich,13528,2022-05-18 02:33
Germany,Frankfurt am Main,3440,2022-01-23 10:33
South Korea,Seoul,14615,2022-01-23 10:33
France,Toulouse,30723,2022-06-23 05:15
China,Beijing,8151,2022-05-18 02:33
United States,San Francisco,9225,2022-01-23 10:33
South Korea,Daegu,6600,2022-05-18 02:33
France,Nice,41700,2022-06-23 05:15
Mexico,Guadalajara,544,2022-01-23 10:33
United States,New York City,13340,2022-04-07 9:30
United States,Washington,38514,2022-01-23 10:33
Mexico,Ecatepec de Morelos,53312,2022-01-23 10:33
South Korea,Daegu,15246,2022-01-23 10:33
United States,Washington,75680,2022-04-07 9:30
Mexico,Mexico City,55800,2022-04-07 9:30
Japan,Osaka,7656,2022-05-18 02:33
France,Nice,435,2022-01-23 10:33
China,Shanghai,430,2022-01-23 10:33
Brazil,Fortaleza,34320,2022-01-23 10:33
France,Nantes,5110,2022-06-23 05:15
India,Delhi,27907,2022-05-18 02:33
South Korea,Daegu,14839,2022-01-23 10:33
France,Nice,22995,2022-01-23 10:33
India,Mumbai,46230,2022-06-23 05:15
South Korea,Busan,7661,2022-05-18 02:33
China,Tianjin,7656,2022-04-07 9:30
France,Toulouse,22648,2022-04-07 9:30
South Korea,Daegu,16290,2022-01-23 10:33
United States,San Francisco,27265,2022-04-07 9:30
United States,Washington,40560,2022-01-23 10:33
China,Shanghai,7774,2022-05-18 02:33
Japan,Tokyo,3588,2022-01-23 10:33
Germany,Berlin,2040,2022-06-23 05:15
Japan,Sapporo,42282,2022-01-23 10:33
United States,Houston,13640,2022-01-23 10:33
Germany,Koeln,22644,2022-05-18 02:33
Mexico,Guadalajara,22828,2022-05-18 02:33
China,Shanghai,9680,2022-06-23 05:15
United States,Los Angeles,14070,2022-01-23 10:33
Brazil,Brasilia,13776,2022-01-23 10:33
Germany,Munich,25498,2022-01-23 10:33
France,Nantes,5967,2022-01-23 10:33
China,Guangzhou,29835,2022-05-18 02:33
France,Toulouse,62700,2022-06-23 05:15
Germany,Munich,65960,2022-05-18 02:33
India,Kolkata,82740,2022-01-23 10:33
China,Tianjin,44469,2022-04-07 9:30
Germany,Hamburg,36504,2022-05-18 02:33
United States,San Francisco,14003,2022-04-07 9:30
China,Guangzhou,51849,2022-05-18 02:33
France,Nice,352,2022-05-18 02:33
China,Guangzhou,51136,2022-04-07 9:30
United States,Los Angeles,7878,2022-04-07 9:30
China,Guangzhou,48692,2022-05-18 02:33
France,Nantes,7007,2022-04-07 9:30
United States,Los Angeles,1386,2022-06-23 05:15
Mexico,Guadalajara,17420,2022-01-23 10:33
Mexico,Ecatepec de Morelos,3002,2022-04-07 9:30
China,Tianjin,12850,2022-01-23 10:33
India,Bengaluru,272,2022-06-23 05:15
France,Lyon,30976,2022-06-23 05:15
South Korea,Seoul,1056,2022-01-23 10:33
Mexico,Ecatepec de Morelos,63724,2022-01-23 10:33
Mexico,Mexico City,70933,2022-06-23 05:15
Germany,Koeln,40866,2022-01-23 10:33
France,Paris,28720,2022-01-23 10:33
Brazil,Belo Horizonte,25880,2022-05-18 02:33
India,Bengaluru,5640,2022-01-23 10:33
Italy,Turin,1248,2022-01-23 10:33
United States,San Francisco,45267,2022-01-23 10:33
United States,San Jose,80091,2022-06-23 05:15
India,Bengaluru,80465,2022-01-23 10:33
China,Shanghai,27135,2022-04-07 9:30
United States,Houston,3400,2022-04-07 9:30
South Korea,Incheon,2299,2022-06-23 05:15
France,Paris,84452,2022-05-18 02:33
Germany,Koeln,35713,2022-01-23 10:33
Italy,Turin,12650,2022-06-23 05:15
Brazil,Sao Paulo,31860,2022-01-23 10:33
United States,Houston,48300,2022-04-07 9:30
Mexico,Puebla,6200,2022-01-23 10:33
Brazil,Sao Paulo,49569,2022-04-07 9:30
South Korea,Busan,2074,2022-06-23 05:15
Germany,Frankfurt am Main,14175,2022-05-18 02:33
China,Tianjin,1735,2022-05-18 02:33
India,Bengaluru,25774,2022-04-07 9:30
Mexico,Iztapalapa,62852,2022-01-23 10:33
France,Nice,31980,2022-06-23 05:15
China,Tianjin,7348,2022-04-07 9:30
France,Toulouse,21555,2022-05-18 02:33
South Korea,Incheon,20325,2022-06-23 05:15
France,Nice,30282,2022-06-23 05:15
Germany,Frankfurt am Main,1276,2022-06-23 05:15
United States,Houston,10535,2022-01-23 10:33
France,Nantes,19824,2022-04-07 9:30
Mexico,Ecatepec de Morelos,16779,2022-01-23 10:33
United States,Houston,37262,2022-05-18 02:33
United States,San Francisco,36248,2022-05-18 02:33
South Korea,Busan,17952,2022-04-07 9:30
United States,Chicago,19880,2022-05-18 02:33
United States,Los Angeles,14555,2022-01-23 10:33
Brazil,Sao Paulo,71025,2022-06-23 05:15
Mexico,Guadalajara,24150,2022-05-18 02:33
Japan,Tokyo,4325,2022-01-23 10:33
India,Kolkata,54400,2022-04-07 9:30
United States,San Francisco,3672,2022-04-07 9:30
United States,Undefined,4536,2022-01-23 10:33
Mexico,Puebla,49216,2022-01-23 10:33
United States,Undefined,29568,2022-04-07 9:30
Mexico,Puebla,9786,2022-06-23 05:15
Italy,Turin,69230,2022-05-18 02:33
South Korea,Incheon,9095,2022-05-18 02:33
United States,Los Angeles,6808,2022-05-18 02:33
United States,Undefined,67228,2022-06-23 05:15
China,Guangzhou,23840,2022-04-07 9:30
United States,San Jose,1188,2022-01-23 10:33
Mexico,Ecatepec de Morelos,400,2022-06-23 05:15
France,Paris,6360,2022-05-18 02:33
Japan,Osaka,7530,2022-01-23 10:33
Mexico,Mexico City,14456,2022-01-23 10:33
Japan,Osaka,29988,2022-04-07 9:30
Japan,Kyoto,32844,2022-06-23 05:15
Mexico,Iztapalapa,21755,2022-04-07 9:30
Italy,Milan,27342,2022-04-07 9:30
China,Guangzhou,54292,2022-01-23 10:33
India,Bengaluru,70590,2022-01-23 10:33
India,Bengaluru,76923,2022-06-23 05:15
Italy,Naples,63862,2022-04-07 9:30
Germany,Hamburg,38727,2022-01-23 10:33
Germany,Frankfurt am Main,57780,2022-04-07 9:30
Japan,Kyoto,2448,2022-04-07 9:30
Brazil,Brasilia,12144,2022-01-23 10:33
Mexico,Iztapalapa,18096,2022-01-23 10:33
Brazil,Fortaleza,22008,2022-04-07 9:30
Mexico,Guadalajara,950,2022-04-07 9:30
Mexico,Ecatepec de Morelos,34650,2022-05-18 02:33
Germany,Frankfurt am Main,1463,2022-01-23 10:33
Germany,Frankfurt am Main,2380,2022-06-23 05:15
Japan,Sapporo,12384,2022-04-07 9:30
Mexico,Puebla,16100,2022-06-23 05:15
United States,Los Angeles,5616,2022-05-18 02:33
Mexico,Guadalajara,33696,2022-06-23 05:15
Italy,Turin,52920,2022-04-07 9:30
Germany,Munich,5966,2022-01-23 10:33
Germany,Berlin,32200,2022-01-23 10:33
South Korea,Incheon,3720,2022-05-18 02:33
United States,New York City,36540,2022-04-07 9:30
Germany,Frankfurt am Main,3820,2022-01-23 10:33
Brazil,Belo Horizonte,36432,2022-06-23 05:15
United States,Undefined,5050,2022-01-23 10:33
Germany,Berlin,77140,2022-05-18 02:33
India,Delhi,8050,2022-04-07 9:30
South Korea,Daegu,45066,2022-06-23 05:15
Brazil,Fortaleza,17685,2022-01-23 10:33
United States,Undefined,53040,2022-01-23 10:33
China,Shanghai,29760,2022-04-07 9:30
United States,Washington,21535,2022-05-18 02:33
Mexico,Iztapalapa,23430,2022-01-23 10:33
South Korea,Daegu,61100,2022-05-18 02:33
India,Delhi,22554,2022-04-07 9:30
China,Guangzhou,10780,2022-06-23 05:15
